"source_id","filename","quality_label","color_mode","damage_label_method","damage_label_list","damage_scratch","damage_crack","damage_fold","damage_dust","damage_stain","damage_mold","damage_tear","damage_missing_region","damage_fading","damage_color_cast","damage_blur","damage_noise","damage_jpeg_artifact","damage_uneven_exposure","confidence_scratch","confidence_crack","confidence_fold","confidence_dust","confidence_stain","confidence_mold","confidence_tear","confidence_missing_region","confidence_fading","confidence_color_cast","confidence_blur","confidence_noise","confidence_jpeg_artifact","confidence_uneven_exposure","evidence_scratch","evidence_crack","evidence_fold","evidence_dust","evidence_stain","evidence_mold","evidence_tear","evidence_missing_region","evidence_fading","evidence_color_cast","evidence_blur","evidence_noise","evidence_jpeg_artifact","evidence_uneven_exposure","texture_match_label_list","texture_match_scores","texture_match_files"
"cma_151356","0001.png","existing_damage","color","texture_catalog_match_v1+source_attribute_v1","blur","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0.7913","0.7728","0.8934","0.7938","0.9446","0.9412","0.9182","0.8552","0.9381","0.9900","0.8998","0.9887","0.9900","0.9900","0.0309","0.0292","0.0492","0.0306","0.0528","0.0517","0.0766","0.0345","0.6098","0.1241","0.9154","0.4842","0.2742","0.2945","","{""crack"": 0.0292, ""dust"": 0.0306, ""fold"": 0.0492, ""missing_region"": 0.0345, ""mold"": 0.0517, ""scratch"": 0.0309, ""stain"": 0.0528, ""tear"": 0.0766}","{}"
"cma_151948","0002.png","existing_damage","color","texture_catalog_match_v1+source_attribute_v1","noise|uneven_exposure","0","0","0","0","0","0","0","0","0","0","0","1","0","1","0.8021","0.7744","0.8930","0.7972","0.9459","0.9562","0.9426","0.8719","0.9900","0.9900","0.9900","0.5646","0.9897","0.9191","0.0280","0.0288","0.0494","0.0297","0.0515","0.0358","0.0582","0.0282","0.0546","0.0293","0.3182","0.7710","0.4407","0.8263","","{""crack"": 0.0288, ""dust"": 0.0297, ""fold"": 0.0494, ""missing_region"": 0.0282, ""mold"": 0.0358, ""scratch"": 0.028, ""stain"": 0.0515, ""tear"": 0.0582}","{}"
"cma_153597","0003.png","existing_damage","color","texture_catalog_match_v1+source_attribute_v1","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.7932","0.8162","0.7168","0.7723","0.8745","0.8995","0.9036","0.8171","0.9897","0.9900","0.9900","0.5510","0.9899","0.9893","0.0304","0.0176","0.1018","0.0361","0.0949","0.0794","0.0850","0.0468","0.3979","0.0879","0.3182","0.7513","0.3757","0.4180","","{""crack"": 0.0176, ""dust"": 0.0361, ""fold"": 0.1018, ""missing_region"": 0.0468, ""mold"": 0.0794, ""scratch"": 0.0304, ""stain"": 0.0949, ""tear"": 0.085}","{}"
"cma_155859","0004.png","existing_damage","color","texture_catalog_match_v1+source_attribute_v1","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.7595","0.7707","0.6960","0.7543","0.6247","0.7063","0.8619","0.8323","0.9900","0.9900","0.9895","0.6340","0.9899","0.9744","0.0388","0.0297","0.1061","0.0404","0.1571","0.1372","0.1034","0.0422","0.1905","0.0569","0.5025","0.7366","0.3745","0.5481","","{""crack"": 0.0297, ""dust"": 0.0404, ""fold"": 0.1061, ""missing_region"": 0.0422, ""mold"": 0.1372, ""scratch"": 0.0388, ""stain"": 0.1571, ""tear"": 0.1034}","{}"
"cma_156101","0005.png","existing_damage","color","texture_catalog_match_v1+source_attribute_v1","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.8176","0.8343","0.8704","0.8158","0.5889","0.9156","0.9271","0.7201","0.9897","0.9900","0.9900","0.9496","0.9899","0.9261","0.0236","0.0121","0.0592","0.0245","0.1635","0.0705","0.0707","0.0707","0.3881","0.1379","0.3182","0.6289","0.3927","0.6090","","{""crack"": 0.0121, ""dust"": 0.0245, ""fold"": 0.0592, ""missing_region"": 0.0707, ""mold"": 0.0705, ""scratch"": 0.0236, ""stain"": 0.1635, ""tear"": 0.0707}","{}"
"met_291408","0006.png","existing_damage","color","texture_catalog_match_v1+source_attribute_v1","blur","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0.8071","0.8165","0.8027","0.7893","0.7411","0.7271","0.9192","0.8300","0.9892","0.9741","0.5607","0.9877","0.9900","0.9890","0.0266","0.0175","0.0813","0.0318","0.1339","0.1328","0.0760","0.0429","0.4317","0.5490","0.8304","0.5084","0.2848","0.4326","","{""crack"": 0.0175, ""dust"": 0.0318, ""fold"": 0.0813, ""missing_region"": 0.0429, ""mold"": 0.1328, ""scratch"": 0.0266, ""stain"": 0.1339, ""tear"": 0.076}","{}"
"met_291412","0007.png","existing_damage","color","texture_catalog_match_v1+source_attribute_v1","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.7796","0.7946","0.6582","0.7513","0.6405","0.6754","0.8896","0.8304","0.9899","0.9872","0.5749","0.9808","0.9900","0.9757","0.0339","0.0236","0.1135","0.0411","0.1542","0.1434","0.0919","0.0428","0.3445","0.4759","0.8072","0.5658","0.2851","0.5445","","{""crack"": 0.0236, ""dust"": 0.0411, ""fold"": 0.1135, ""missing_region"": 0.0428, ""mold"": 0.1434, ""scratch"": 0.0339, ""stain"": 0.1542, ""tear"": 0.0919}","{}"
"met_291413","0008.png","existing_damage","color","texture_catalog_match_v1+source_attribute_v1","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.7950","0.8009","0.7569","0.7900","0.9090","0.8382","0.9095","0.8008","0.9428","0.9892","0.9504","0.9869","0.9900","0.9900","0.0299","0.0219","0.0929","0.0316","0.0785","0.1039","0.0818","0.0514","0.6057","0.4252","0.6880","0.5206","0.2935","0.2696","","{""crack"": 0.0219, ""dust"": 0.0316, ""fold"": 0.0929, ""missing_region"": 0.0514, ""mold"": 0.1039, ""scratch"": 0.0299, ""stain"": 0.0785, ""tear"": 0.0818}","{}"
"met_291421","0009.png","existing_damage","color","texture_catalog_match_v1+source_attribute_v1","blur|uneven_exposure","0","0","0","0","0","0","0","0","0","0","1","0","0","1","0.7984","0.7748","0.8706","0.8074","0.9524","0.9551","0.9593","0.8743","0.9900","0.9900","0.7174","0.9521","0.9900","0.9292","0.0290","0.0287","0.0591","0.0269","0.0446","0.0371","0.0394","0.0272","0.2172","0.3017","0.8597","0.6262","0.2606","0.8331","","{""crack"": 0.0287, ""dust"": 0.0269, ""fold"": 0.0591, ""missing_region"": 0.0272, ""mold"": 0.0371, ""scratch"": 0.029, ""stain"": 0.0446, ""tear"": 0.0394}","{}"
"met_291426","0010.png","existing_damage","color","texture_catalog_match_v1+source_attribute_v1","blur","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0.7776","0.7599","0.8195","0.7854","0.9016","0.9129","0.8811","0.8650","0.6995","0.9841","0.7130","0.9895","0.9900","0.9900","0.0344","0.0323","0.0765","0.0328","0.0825","0.0721","0.0957","0.0309","0.6940","0.5070","0.8588","0.4451","0.2790","0.2079","","{""crack"": 0.0323, ""dust"": 0.0328, ""fold"": 0.0765, ""missing_region"": 0.0309, ""mold"": 0.0721, ""scratch"": 0.0344, ""stain"": 0.0825, ""tear"": 0.0957}","{}"
