"dataset_seq","dataset_id","dataset_class","class_seq","source_id","original_filename","export_filename","export_path","source_sha256","width","height","content_type","color_mode","quality_label","split","dataset_kind","provider","source_url","license","rights_url","damage_label_list","damage_label_count","damage_label_method","texture_match_label_list","texture_match_scores","texture_match_files","damage_scratch","damage_crack","damage_fold","damage_dust","damage_stain","damage_mold","damage_tear","damage_missing_region","damage_fading","damage_color_cast","damage_blur","damage_noise","damage_jpeg_artifact","damage_uneven_exposure","export_sha256","file_size_bytes","actual_format"
"3","clean_near_000001","clean_near","1","cma_153597","0003.png","clean_near_000001.png","dataset_images/clean_near/clean_near_000001.png","46110be6961290d98b76b5a1fd22152153da81cf99f7404ce3c6a0b08969f3ef","2560","1870","outdoor_scene","RGB","existing_damage","train","real_damaged","Cleveland Museum of Art","https://clevelandart.org/art/1987.130","CC0","https://www.clevelandart.org/open-access","","0","texture_catalog_match_v1+source_attribute_v1","","{""crack"": 0.0176, ""dust"": 0.0361, ""fold"": 0.1018, ""missing_region"": 0.0468, ""mold"": 0.0794, ""scratch"": 0.0304, ""stain"": 0.0949, ""tear"": 0.085}","{}","0","0","0","0","0","0","0","0","0","0","0","0","0","0","46110be6961290d98b76b5a1fd22152153da81cf99f7404ce3c6a0b08969f3ef","3589044","png"
"4","clean_near_000002","clean_near","2","cma_155859","0004.png","clean_near_000002.png","dataset_images/clean_near/clean_near_000002.png","663dbca6a79a9cf11027ea064972fca0303676634c5c16a330ca13cb355a91fb","3200","2152","outdoor_scene","RGB","existing_damage","validation","real_damaged","Cleveland Museum of Art","https://clevelandart.org/art/1991.162","CC0","https://www.clevelandart.org/open-access","","0","texture_catalog_match_v1+source_attribute_v1","","{""crack"": 0.0297, ""dust"": 0.0404, ""fold"": 0.1061, ""missing_region"": 0.0422, ""mold"": 0.1372, ""scratch"": 0.0388, ""stain"": 0.1571, ""tear"": 0.1034}","{}","0","0","0","0","0","0","0","0","0","0","0","0","0","0","663dbca6a79a9cf11027ea064972fca0303676634c5c16a330ca13cb355a91fb","3974851","png"
"5","clean_near_000003","clean_near","3","cma_156101","0005.png","clean_near_000003.png","dataset_images/clean_near/clean_near_000003.png","48442cb74f6a1f7b4e66b6832ee70b0eab3bf58ca467fb8f5979deb5734bdc09","2560","1700","architecture","RGB","existing_damage","train","real_damaged","Cleveland Museum of Art","https://clevelandart.org/art/1991.35","CC0","https://www.clevelandart.org/open-access","","0","texture_catalog_match_v1+source_attribute_v1","","{""crack"": 0.0121, ""dust"": 0.0245, ""fold"": 0.0592, ""missing_region"": 0.0707, ""mold"": 0.0705, ""scratch"": 0.0236, ""stain"": 0.1635, ""tear"": 0.0707}","{}","0","0","0","0","0","0","0","0","0","0","0","0","0","0","48442cb74f6a1f7b4e66b6832ee70b0eab3bf58ca467fb8f5979deb5734bdc09","3847028","png"
"7","clean_near_000004","clean_near","4","met_291412","0007.png","clean_near_000004.png","dataset_images/clean_near/clean_near_000004.png","270e048268c7ef90f4aaca088a92170bf5b216046a5c82b5f449d1031b316db8","2129","1508","architecture","RGB","existing_damage","test","real_damaged","The Metropolitan Museum of Art","https://www.metmuseum.org/art/collection/search/291412","Public Domain","https://www.metmuseum.org/about-the-met/policies-and-documents/open-access","","0","texture_catalog_match_v1+source_attribute_v1","","{""crack"": 0.0236, ""dust"": 0.0411, ""fold"": 0.1135, ""missing_region"": 0.0428, ""mold"": 0.1434, ""scratch"": 0.0339, ""stain"": 0.1542, ""tear"": 0.0919}","{}","0","0","0","0","0","0","0","0","0","0","0","0","0","0","930e0b82b982630dd09d34a55ba3f44684f9b69ca639b303b87f897f5191c526","4670681","png"
"8","clean_near_000005","clean_near","5","met_291413","0008.png","clean_near_000005.png","dataset_images/clean_near/clean_near_000005.png","df31550a10317107480a91893d0b3c5379b9febcfeefb1925590b027275d4e6a","2061","1554","architecture","RGB","existing_damage","train","real_damaged","The Metropolitan Museum of Art","https://www.metmuseum.org/art/collection/search/291413","Public Domain","https://www.metmuseum.org/about-the-met/policies-and-documents/open-access","","0","texture_catalog_match_v1+source_attribute_v1","","{""crack"": 0.0219, ""dust"": 0.0316, ""fold"": 0.0929, ""missing_region"": 0.0514, ""mold"": 0.1039, ""scratch"": 0.0299, ""stain"": 0.0785, ""tear"": 0.0818}","{}","0","0","0","0","0","0","0","0","0","0","0","0","0","0","008d40e4169d0e2b801fcfe4822c88289983e951d65454fbbfec5fc379fdf76d","4459959","png"
"22","clean_near_000006","clean_near","6","cma_152229","0028.png","clean_near_000006.png","dataset_images/clean_near/clean_near_000006.png","2f8ea1fa02833213c47ea72110c1c0e806c5e33017e2f74cb06cff30cba94c58","2003","2560","outdoor_scene","RGB","existing_damage","train","real_damaged","Cleveland Museum of Art","https://clevelandart.org/art/1985.115","CC0","https://www.clevelandart.org/open-access","","0","texture_catalog_match_v1+source_attribute_v1","","{""crack"": 0.027, ""dust"": 0.0281, ""fold"": 0.0774, ""missing_region"": 0.0327, ""mold"": 0.0732, ""scratch"": 0.0335, ""stain"": 0.0789, ""tear"": 0.0614}","{}","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2f8ea1fa02833213c47ea72110c1c0e806c5e33017e2f74cb06cff30cba94c58","3442133","png"
"23","clean_near_000007","clean_near","7","cma_152264","0029.png","clean_near_000007.png","dataset_images/clean_near/clean_near_000007.png","154bdfe5ee4650162634862c4530261622a21f16dee749f4f77a67601c5fb3a6","1961","2560","other","RGB","existing_damage","train","real_damaged","Cleveland Museum of Art","https://clevelandart.org/art/1985.144","CC0","https://www.clevelandart.org/open-access","","0","texture_catalog_match_v1+source_attribute_v1","","{""crack"": 0.0131, ""dust"": 0.0351, ""fold"": 0.0789, ""missing_region"": 0.0756, ""mold"": 0.0974, ""scratch"": 0.0361, ""stain"": 0.1266, ""tear"": 0.0794}","{}","0","0","0","0","0","0","0","0","0","0","0","0","0","0","154bdfe5ee4650162634862c4530261622a21f16dee749f4f77a67601c5fb3a6","3516341","png"
"25","clean_near_000008","clean_near","8","cma_152859","0031.png","clean_near_000008.png","dataset_images/clean_near/clean_near_000008.png","45ef6a5c03eb0e1636987e0255125f5378f03faef513b6c5b16d053394140bce","2560","1515","outdoor_scene","RGB","existing_damage","train","real_damaged","Cleveland Museum of Art","https://clevelandart.org/art/1985.94","CC0","https://www.clevelandart.org/open-access","","0","texture_catalog_match_v1+source_attribute_v1","","{""crack"": 0.0241, ""dust"": 0.0288, ""fold"": 0.0972, ""missing_region"": 0.0812, ""mold"": 0.1258, ""scratch"": 0.0283, ""stain"": 0.1277, ""tear"": 0.1164}","{}","0","0","0","0","0","0","0","0","0","0","0","0","0","0","45ef6a5c03eb0e1636987e0255125f5378f03faef513b6c5b16d053394140bce","3287221","png"
"35","clean_near_000009","clean_near","9","cma_159467","0041.png","clean_near_000009.png","dataset_images/clean_near/clean_near_000009.png","7187bd4dd3566b768c2e4c6ab1eecfec11652bef8fe56c03965b23b95e823cde","1901","2560","outdoor_scene","RGB","existing_damage","train","real_damaged","Cleveland Museum of Art","https://clevelandart.org/art/1996.242","CC0","https://www.clevelandart.org/open-access","","0","texture_catalog_match_v1+source_attribute_v1","","{""crack"": 0.0149, ""dust"": 0.0365, ""fold"": 0.0866, ""missing_region"": 0.0512, ""mold"": 0.0912, ""scratch"": 0.031, ""stain"": 0.1121, ""tear"": 0.0998}","{}","0","0","0","0","0","0","0","0","0","0","0","0","0","0","7187bd4dd3566b768c2e4c6ab1eecfec11652bef8fe56c03965b23b95e823cde","3990146","png"
"36","clean_near_000010","clean_near","10","cma_159470","0042.png","clean_near_000010.png","dataset_images/clean_near/clean_near_000010.png","8b6a6a99fb284835e199bc3e16bd3d725722eaabfca8dcb08a44e859457e5dbe","2008","2560","single_portrait","RGB","existing_damage","train","real_damaged","Cleveland Museum of Art","https://clevelandart.org/art/1996.245","CC0","https://www.clevelandart.org/open-access","","0","texture_catalog_match_v1+source_attribute_v1","","{""crack"": 0.02, ""dust"": 0.0278, ""fold"": 0.0456, ""missing_region"": 0.0352, ""mold"": 0.0574, ""scratch"": 0.0233, ""stain"": 0.0707, ""tear"": 0.0949}","{}","0","0","0","0","0","0","0","0","0","0","0","0","0","0","8b6a6a99fb284835e199bc3e16bd3d725722eaabfca8dcb08a44e859457e5dbe","3387784","png"
