"dataset_seq","dataset_id","dataset_class","class_seq","source_id","original_filename","export_filename","export_path","source_sha256","width","height","content_type","color_mode","quality_label","split","dataset_kind","provider","source_url","license","rights_url","damage_label_list","damage_label_count","damage_label_method","texture_match_label_list","texture_match_scores","texture_match_files","damage_scratch","damage_crack","damage_fold","damage_dust","damage_stain","damage_mold","damage_tear","damage_missing_region","damage_fading","damage_color_cast","damage_blur","damage_noise","damage_jpeg_artifact","damage_uneven_exposure","export_sha256","file_size_bytes","actual_format"
"1","damaged_obvious_000001","damaged_obvious","1","cma_151356","0001.png","damaged_obvious_000001.png","dataset_images/damaged_obvious/damaged_obvious_000001.png","610cbc16f20b1d9890c1fa91697766eb2b3575b459605971b13776e1cbb347b4","1909","2560","single_portrait","RGB","existing_damage","train","real_damaged","Cleveland Museum of Art","https://clevelandart.org/art/1983.198","CC0","https://www.clevelandart.org/open-access","blur","1","texture_catalog_match_v1+source_attribute_v1","","{""crack"": 0.0292, ""dust"": 0.0306, ""fold"": 0.0492, ""missing_region"": 0.0345, ""mold"": 0.0517, ""scratch"": 0.0309, ""stain"": 0.0528, ""tear"": 0.0766}","{}","0","0","0","0","0","0","0","0","0","0","1","0","0","0","610cbc16f20b1d9890c1fa91697766eb2b3575b459605971b13776e1cbb347b4","3350094","png"
"2","damaged_obvious_000002","damaged_obvious","2","cma_151948","0002.png","damaged_obvious_000002.png","dataset_images/damaged_obvious/damaged_obvious_000002.png","4813c37c61b56caa6be3bd828a7e7a931892ebac526ec66231b4e0a4f63008e3","1982","2048","architecture","RGB","existing_damage","validation","real_damaged","Cleveland Museum of Art","https://clevelandart.org/art/1984.24","CC0","https://www.clevelandart.org/open-access","noise|uneven_exposure","2","texture_catalog_match_v1+source_attribute_v1","","{""crack"": 0.0288, ""dust"": 0.0297, ""fold"": 0.0494, ""missing_region"": 0.0282, ""mold"": 0.0358, ""scratch"": 0.028, ""stain"": 0.0515, ""tear"": 0.0582}","{}","0","0","0","0","0","0","0","0","0","0","0","1","0","1","4813c37c61b56caa6be3bd828a7e7a931892ebac526ec66231b4e0a4f63008e3","3522515","png"
"6","damaged_obvious_000003","damaged_obvious","3","met_291408","0006.png","damaged_obvious_000003.png","dataset_images/damaged_obvious/damaged_obvious_000003.png","205d365fc8746e6b190323a75458121c12d48a267aca8f961142d2fb9acad601","2461","1715","outdoor_scene","RGB","existing_damage","test","real_damaged","The Metropolitan Museum of Art","https://www.metmuseum.org/art/collection/search/291408","Public Domain","https://www.metmuseum.org/about-the-met/policies-and-documents/open-access","blur","1","texture_catalog_match_v1+source_attribute_v1","","{""crack"": 0.0175, ""dust"": 0.0318, ""fold"": 0.0813, ""missing_region"": 0.0429, ""mold"": 0.1328, ""scratch"": 0.0266, ""stain"": 0.1339, ""tear"": 0.076}","{}","0","0","0","0","0","0","0","0","0","0","1","0","0","0","cfa19f753b3c6d1ea9379f6c9c6ff505e8712e5935ea33a2c25e605db1f96ba7","4499882","png"
"9","damaged_obvious_000004","damaged_obvious","4","met_291421","0009.png","damaged_obvious_000004.png","dataset_images/damaged_obvious/damaged_obvious_000004.png","79f90df3ecd8ba61fa24f5de67485210c1c8b886579873ef25eccb88757df32e","2035","1363","architecture","RGB","existing_damage","train","real_damaged","The Metropolitan Museum of Art","https://www.metmuseum.org/art/collection/search/291421","Public Domain","https://www.metmuseum.org/about-the-met/policies-and-documents/open-access","blur|uneven_exposure","2","texture_catalog_match_v1+source_attribute_v1","","{""crack"": 0.0287, ""dust"": 0.0269, ""fold"": 0.0591, ""missing_region"": 0.0272, ""mold"": 0.0371, ""scratch"": 0.029, ""stain"": 0.0446, ""tear"": 0.0394}","{}","0","0","0","0","0","0","0","0","0","0","1","0","0","1","51647d93fed092e9ca62ce48e5915165b07eca250c4f37df2434d9a33b8bd7d1","3819723","png"
"10","damaged_obvious_000005","damaged_obvious","5","met_291426","0010.png","damaged_obvious_000005.png","dataset_images/damaged_obvious/damaged_obvious_000005.png","3e7662f1bc6445d6efb9354ab49fd93a2517db63e2ed0af59b34dcee19e12109","1976","1510","architecture","RGB","existing_damage","train","real_damaged","The Metropolitan Museum of Art","https://www.metmuseum.org/art/collection/search/291426","Public Domain","https://www.metmuseum.org/about-the-met/policies-and-documents/open-access","blur","1","texture_catalog_match_v1+source_attribute_v1","","{""crack"": 0.0323, ""dust"": 0.0328, ""fold"": 0.0765, ""missing_region"": 0.0309, ""mold"": 0.0721, ""scratch"": 0.0344, ""stain"": 0.0825, ""tear"": 0.0957}","{}","0","0","0","0","0","0","0","0","0","0","1","0","0","0","c33bef061fc3576c923c20d1b3529f8e36c160de9dc83fe362737b26256ee18a","4016319","png"
"11","damaged_obvious_000006","damaged_obvious","6","commons_126834742","0012.png","damaged_obvious_000006.png","dataset_images/damaged_obvious/damaged_obvious_000006.png","bfc72244506012f201772fa23d4d5c570d85f711449ebb7139310d13d2a646b5","1971","2416","architecture","RGB","existing_damage","train","real_damaged","Wikimedia Commons","https://commons.wikimedia.org/wiki/File:Historical_photograph_of_Takht_Keshgarh_Sahib.jpg","Public domain","","noise|uneven_exposure","2","texture_catalog_match_v1+source_attribute_v1","","{""crack"": 0.0086, ""dust"": 0.0157, ""fold"": 0.0332, ""missing_region"": 0.0217, ""mold"": 0.031, ""scratch"": 0.0167, ""stain"": 0.0406, ""tear"": 0.0264}","{}","0","0","0","0","0","0","0","0","0","0","0","1","0","1","756aaada1d7f92b86bbe0ce51b65b35d532cbd2df4beb48c41a87466e1f1740d","5882294","png"
"12","damaged_obvious_000007","damaged_obvious","7","commons_126847690","0013.png","damaged_obvious_000007.png","dataset_images/damaged_obvious/damaged_obvious_000007.png","3d65243c5596c35b4a9468f94d1acebba89c9700365bfa2bb7404b7c357b042c","2048","1394","architecture","RGB","existing_damage","train","real_damaged","Wikimedia Commons","https://commons.wikimedia.org/wiki/File:Historical_photograph_of_Fatehgarh_Sahib.jpg","Public domain","","noise","1","texture_catalog_match_v1+source_attribute_v1","","{""crack"": 0.0297, ""dust"": 0.0435, ""fold"": 0.0899, ""missing_region"": 0.0861, ""mold"": 0.1129, ""scratch"": 0.035, ""stain"": 0.1062, ""tear"": 0.1357}","{}","0","0","0","0","0","0","0","0","0","0","0","1","0","0","3d65243c5596c35b4a9468f94d1acebba89c9700365bfa2bb7404b7c357b042c","2712809","png"
"13","damaged_obvious_000008","damaged_obvious","8","commons_126847691","0014.png","damaged_obvious_000008.png","dataset_images/damaged_obvious/damaged_obvious_000008.png","b51757adc090baf3db4a4ab12cc0e61ce0486096f279d9dcc0cad8b47ded16b7","2048","1412","architecture","RGB","existing_damage","train","real_damaged","Wikimedia Commons","https://commons.wikimedia.org/wiki/File:Historical_photograph_of_Darbar_Sahib,_Mukhtsar.jpg","Public domain","","noise|uneven_exposure","2","texture_catalog_match_v1+source_attribute_v1","","{""crack"": 0.0261, ""dust"": 0.0439, ""fold"": 0.0953, ""missing_region"": 0.0503, ""mold"": 0.1302, ""scratch"": 0.0295, ""stain"": 0.1436, ""tear"": 0.0924}","{}","0","0","0","0","0","0","0","0","0","0","0","1","0","1","b51757adc090baf3db4a4ab12cc0e61ce0486096f279d9dcc0cad8b47ded16b7","2595334","png"
"14","damaged_obvious_000009","damaged_obvious","9","commons_135995157","0015.png","damaged_obvious_000009.png","dataset_images/damaged_obvious/damaged_obvious_000009.png","b084062b483c6932efd7a6172d53d3ebe1b97c3ef8d5247e1005a5cb0f73b5fd","2048","1977","outdoor_scene","RGB","existing_damage","train","real_damaged","Wikimedia Commons","https://commons.wikimedia.org/wiki/File:Historical_photographs_of_port_of_Antwerp.jpg","CC BY-SA 4.0","https://creativecommons.org/licenses/by-sa/4.0","noise|uneven_exposure","2","texture_catalog_match_v1+source_attribute_v1","","{""crack"": 0.0265, ""dust"": 0.0286, ""fold"": 0.0437, ""missing_region"": 0.0262, ""mold"": 0.0284, ""scratch"": 0.0293, ""stain"": 0.0786, ""tear"": 0.0747}","{}","0","0","0","0","0","0","0","0","0","0","0","1","0","1","b084062b483c6932efd7a6172d53d3ebe1b97c3ef8d5247e1005a5cb0f73b5fd","3323480","png"
"15","damaged_obvious_000010","damaged_obvious","10","commons_136194241","0016.png","damaged_obvious_000010.png","dataset_images/damaged_obvious/damaged_obvious_000010.png","6e8e91020d92f1a52caeb0722c216982e6d591e1e8e60ed052719980fe690516","1795","2048","outdoor_scene","RGB","existing_damage","test","real_damaged","Wikimedia Commons","https://commons.wikimedia.org/wiki/File:Historical_photographs_of_Oxford.jpg","CC BY-SA 4.0","https://creativecommons.org/licenses/by-sa/4.0","noise","1","texture_catalog_match_v1+source_attribute_v1","","{""crack"": 0.0181, ""dust"": 0.0231, ""fold"": 0.0859, ""missing_region"": 0.0282, ""mold"": 0.086, ""scratch"": 0.031, ""stain"": 0.0784, ""tear"": 0.1008}","{}","0","0","0","0","0","0","0","0","0","0","0","1","0","0","6e8e91020d92f1a52caeb0722c216982e6d591e1e8e60ed052719980fe690516","2977835","png"
