"dataset_seq","dataset_id","dataset_class","class_seq","source_id","original_filename","export_filename","export_path","source_sha256","width","height","content_type","color_mode","quality_label","split","dataset_kind","provider","source_url","license","rights_url","damage_label_list","damage_label_count","damage_label_method","texture_match_label_list","texture_match_scores","texture_match_files","damage_scratch","damage_crack","damage_fold","damage_dust","damage_stain","damage_mold","damage_tear","damage_missing_region","damage_fading","damage_color_cast","damage_blur","damage_noise","damage_jpeg_artifact","damage_uneven_exposure","export_sha256","file_size_bytes","actual_format"
"1","damaged_obvious_000001","damaged_obvious","1","cma_151356","0001.png","damaged_obvious_000001.png","dataset_images/damaged_obvious/damaged_obvious_000001.png","610cbc16f20b1d9890c1fa91697766eb2b3575b459605971b13776e1cbb347b4","1909","2560","single_portrait","RGB","existing_damage","train","real_damaged","Cleveland Museum of Art","https://clevelandart.org/art/1983.198","CC0","https://www.clevelandart.org/open-access","blur","1","texture_catalog_match_v1+source_attribute_v1","","{""crack"": 0.0292, ""dust"": 0.0306, ""fold"": 0.0492, ""missing_region"": 0.0345, ""mold"": 0.0517, ""scratch"": 0.0309, ""stain"": 0.0528, ""tear"": 0.0766}","{}","0","0","0","0","0","0","0","0","0","0","1","0","0","0","610cbc16f20b1d9890c1fa91697766eb2b3575b459605971b13776e1cbb347b4","3350094","png"
"2","damaged_obvious_000002","damaged_obvious","2","cma_151948","0002.png","damaged_obvious_000002.png","dataset_images/damaged_obvious/damaged_obvious_000002.png","4813c37c61b56caa6be3bd828a7e7a931892ebac526ec66231b4e0a4f63008e3","1982","2048","architecture","RGB","existing_damage","validation","real_damaged","Cleveland Museum of Art","https://clevelandart.org/art/1984.24","CC0","https://www.clevelandart.org/open-access","noise|uneven_exposure","2","texture_catalog_match_v1+source_attribute_v1","","{""crack"": 0.0288, ""dust"": 0.0297, ""fold"": 0.0494, ""missing_region"": 0.0282, ""mold"": 0.0358, ""scratch"": 0.028, ""stain"": 0.0515, ""tear"": 0.0582}","{}","0","0","0","0","0","0","0","0","0","0","0","1","0","1","4813c37c61b56caa6be3bd828a7e7a931892ebac526ec66231b4e0a4f63008e3","3522515","png"
"3","clean_near_000001","clean_near","1","cma_153597","0003.png","clean_near_000001.png","dataset_images/clean_near/clean_near_000001.png","46110be6961290d98b76b5a1fd22152153da81cf99f7404ce3c6a0b08969f3ef","2560","1870","outdoor_scene","RGB","existing_damage","train","real_damaged","Cleveland Museum of Art","https://clevelandart.org/art/1987.130","CC0","https://www.clevelandart.org/open-access","","0","texture_catalog_match_v1+source_attribute_v1","","{""crack"": 0.0176, ""dust"": 0.0361, ""fold"": 0.1018, ""missing_region"": 0.0468, ""mold"": 0.0794, ""scratch"": 0.0304, ""stain"": 0.0949, ""tear"": 0.085}","{}","0","0","0","0","0","0","0","0","0","0","0","0","0","0","46110be6961290d98b76b5a1fd22152153da81cf99f7404ce3c6a0b08969f3ef","3589044","png"
"4","clean_near_000002","clean_near","2","cma_155859","0004.png","clean_near_000002.png","dataset_images/clean_near/clean_near_000002.png","663dbca6a79a9cf11027ea064972fca0303676634c5c16a330ca13cb355a91fb","3200","2152","outdoor_scene","RGB","existing_damage","validation","real_damaged","Cleveland Museum of Art","https://clevelandart.org/art/1991.162","CC0","https://www.clevelandart.org/open-access","","0","texture_catalog_match_v1+source_attribute_v1","","{""crack"": 0.0297, ""dust"": 0.0404, ""fold"": 0.1061, ""missing_region"": 0.0422, ""mold"": 0.1372, ""scratch"": 0.0388, ""stain"": 0.1571, ""tear"": 0.1034}","{}","0","0","0","0","0","0","0","0","0","0","0","0","0","0","663dbca6a79a9cf11027ea064972fca0303676634c5c16a330ca13cb355a91fb","3974851","png"
"5","clean_near_000003","clean_near","3","cma_156101","0005.png","clean_near_000003.png","dataset_images/clean_near/clean_near_000003.png","48442cb74f6a1f7b4e66b6832ee70b0eab3bf58ca467fb8f5979deb5734bdc09","2560","1700","architecture","RGB","existing_damage","train","real_damaged","Cleveland Museum of Art","https://clevelandart.org/art/1991.35","CC0","https://www.clevelandart.org/open-access","","0","texture_catalog_match_v1+source_attribute_v1","","{""crack"": 0.0121, ""dust"": 0.0245, ""fold"": 0.0592, ""missing_region"": 0.0707, ""mold"": 0.0705, ""scratch"": 0.0236, ""stain"": 0.1635, ""tear"": 0.0707}","{}","0","0","0","0","0","0","0","0","0","0","0","0","0","0","48442cb74f6a1f7b4e66b6832ee70b0eab3bf58ca467fb8f5979deb5734bdc09","3847028","png"
"6","damaged_obvious_000003","damaged_obvious","3","met_291408","0006.png","damaged_obvious_000003.png","dataset_images/damaged_obvious/damaged_obvious_000003.png","205d365fc8746e6b190323a75458121c12d48a267aca8f961142d2fb9acad601","2461","1715","outdoor_scene","RGB","existing_damage","test","real_damaged","The Metropolitan Museum of Art","https://www.metmuseum.org/art/collection/search/291408","Public Domain","https://www.metmuseum.org/about-the-met/policies-and-documents/open-access","blur","1","texture_catalog_match_v1+source_attribute_v1","","{""crack"": 0.0175, ""dust"": 0.0318, ""fold"": 0.0813, ""missing_region"": 0.0429, ""mold"": 0.1328, ""scratch"": 0.0266, ""stain"": 0.1339, ""tear"": 0.076}","{}","0","0","0","0","0","0","0","0","0","0","1","0","0","0","cfa19f753b3c6d1ea9379f6c9c6ff505e8712e5935ea33a2c25e605db1f96ba7","4499882","png"
"7","clean_near_000004","clean_near","4","met_291412","0007.png","clean_near_000004.png","dataset_images/clean_near/clean_near_000004.png","270e048268c7ef90f4aaca088a92170bf5b216046a5c82b5f449d1031b316db8","2129","1508","architecture","RGB","existing_damage","test","real_damaged","The Metropolitan Museum of Art","https://www.metmuseum.org/art/collection/search/291412","Public Domain","https://www.metmuseum.org/about-the-met/policies-and-documents/open-access","","0","texture_catalog_match_v1+source_attribute_v1","","{""crack"": 0.0236, ""dust"": 0.0411, ""fold"": 0.1135, ""missing_region"": 0.0428, ""mold"": 0.1434, ""scratch"": 0.0339, ""stain"": 0.1542, ""tear"": 0.0919}","{}","0","0","0","0","0","0","0","0","0","0","0","0","0","0","930e0b82b982630dd09d34a55ba3f44684f9b69ca639b303b87f897f5191c526","4670681","png"
"8","clean_near_000005","clean_near","5","met_291413","0008.png","clean_near_000005.png","dataset_images/clean_near/clean_near_000005.png","df31550a10317107480a91893d0b3c5379b9febcfeefb1925590b027275d4e6a","2061","1554","architecture","RGB","existing_damage","train","real_damaged","The Metropolitan Museum of Art","https://www.metmuseum.org/art/collection/search/291413","Public Domain","https://www.metmuseum.org/about-the-met/policies-and-documents/open-access","","0","texture_catalog_match_v1+source_attribute_v1","","{""crack"": 0.0219, ""dust"": 0.0316, ""fold"": 0.0929, ""missing_region"": 0.0514, ""mold"": 0.1039, ""scratch"": 0.0299, ""stain"": 0.0785, ""tear"": 0.0818}","{}","0","0","0","0","0","0","0","0","0","0","0","0","0","0","008d40e4169d0e2b801fcfe4822c88289983e951d65454fbbfec5fc379fdf76d","4459959","png"
"9","damaged_obvious_000004","damaged_obvious","4","met_291421","0009.png","damaged_obvious_000004.png","dataset_images/damaged_obvious/damaged_obvious_000004.png","79f90df3ecd8ba61fa24f5de67485210c1c8b886579873ef25eccb88757df32e","2035","1363","architecture","RGB","existing_damage","train","real_damaged","The Metropolitan Museum of Art","https://www.metmuseum.org/art/collection/search/291421","Public Domain","https://www.metmuseum.org/about-the-met/policies-and-documents/open-access","blur|uneven_exposure","2","texture_catalog_match_v1+source_attribute_v1","","{""crack"": 0.0287, ""dust"": 0.0269, ""fold"": 0.0591, ""missing_region"": 0.0272, ""mold"": 0.0371, ""scratch"": 0.029, ""stain"": 0.0446, ""tear"": 0.0394}","{}","0","0","0","0","0","0","0","0","0","0","1","0","0","1","51647d93fed092e9ca62ce48e5915165b07eca250c4f37df2434d9a33b8bd7d1","3819723","png"
"10","damaged_obvious_000005","damaged_obvious","5","met_291426","0010.png","damaged_obvious_000005.png","dataset_images/damaged_obvious/damaged_obvious_000005.png","3e7662f1bc6445d6efb9354ab49fd93a2517db63e2ed0af59b34dcee19e12109","1976","1510","architecture","RGB","existing_damage","train","real_damaged","The Metropolitan Museum of Art","https://www.metmuseum.org/art/collection/search/291426","Public Domain","https://www.metmuseum.org/about-the-met/policies-and-documents/open-access","blur","1","texture_catalog_match_v1+source_attribute_v1","","{""crack"": 0.0323, ""dust"": 0.0328, ""fold"": 0.0765, ""missing_region"": 0.0309, ""mold"": 0.0721, ""scratch"": 0.0344, ""stain"": 0.0825, ""tear"": 0.0957}","{}","0","0","0","0","0","0","0","0","0","0","1","0","0","0","c33bef061fc3576c923c20d1b3529f8e36c160de9dc83fe362737b26256ee18a","4016319","png"
