file,main_label,sub_label,label_path,primary_category,tags,label_source,scale,distribution,density,blend_mode,confidence,enabled,review_status,coverage,bright_coverage,edge_bias,anisotropy,edge_density,coarse_ratio,component_density,largest_component
001.jpg,area,surface_wear,area--surface_wear,surface_wear,surface_wear,manual_visual,fine,diffuse,medium,multiply,0.97,1,manual_visual,0.086026,0.005089,0.7830,0.0331,0.174401,0.0628,16402.36,0.0067
002.jpg,area,mold,area--mold,mold,mold;stain,manual_visual,fine,diffuse,dense,multiply,0.97,1,manual_visual,0.158658,0.008239,0.5624,0.0223,0.199949,0.2256,15615.53,0.1442
003.jpg,area,surface_wear,area--surface_wear,surface_wear,surface_wear,manual_visual,fine,diffuse,medium,multiply,0.97,1,manual_visual,0.099154,0.002478,0.9724,0.0583,0.166480,0.2170,12456.60,0.0450
004.jpg,structure,edge_wear,structure--edge_wear,edge_wear,edge_wear;stain;surface_wear,manual_visual,fine,edge,dense,multiply,0.97,1,manual_visual,0.416979,0.208637,0.9547,0.0478,0.206963,0.7038,3639.36,0.9260
005.jpg,area,stain,area--stain,stain,stain,manual_visual,fine,sparse,sparse,multiply,0.97,1,manual_visual,0.029280,0.001194,0.2159,0.0324,0.063112,0.1740,4722.22,0.0325
006.jpg,area,mold,area--mold,mold,mold,manual_visual,fine,diffuse,medium,multiply,0.97,1,manual_visual,0.059829,0.004067,1.1749,0.0057,0.086553,0.0856,6794.43,0.0101
007.jpg,area,stain,area--stain,stain,stain,manual_visual,fine,diffuse,medium,multiply,0.97,1,manual_visual,0.137447,0.024665,0.3989,0.0508,0.144141,0.5296,9833.90,0.4311
008.jpg,area,mold,area--mold,mold,mold,manual_visual,fine,diffuse,dense,multiply,0.97,1,manual_visual,0.527535,0.042294,1.3043,0.0226,0.336355,0.3792,16351.51,0.2412
009.jpg,detail,scratch,detail--scratch,scratch,scratch,manual_visual,linear,directional,sparse,screen,0.97,1,manual_visual,0.021067,0.007776,1.4082,0.2192,0.025837,0.0590,1938.48,0.0226
010.jpg,area,stain,area--stain,stain,stain,manual_visual,fine,sparse,medium,multiply,0.97,1,manual_visual,0.033984,0.005637,0.1214,0.0397,0.043278,0.2337,2216.44,0.1699
011.jpg,structure,edge_wear,structure--edge_wear,edge_wear,edge_wear;scratch;surface_wear,manual_visual,linear,edge,medium,multiply,0.97,1,manual_visual,0.145447,0.070239,9.7889,0.2474,0.099431,0.6792,3719.62,0.4100
012.jpg,area,stain,area--stain,stain,stain,manual_visual,fine,diffuse,medium,multiply,0.97,1,manual_visual,0.125457,0.003381,0.5755,0.0152,0.200509,0.2368,17293.62,0.1341
013.jpg,area,stain,area--stain,stain,stain,manual_visual,fine,sparse,sparse,multiply,0.97,1,manual_visual,0.018594,0.000269,0.2271,0.0052,0.048611,0.2155,2760.42,0.0667
014.jpg,structure,edge_wear,structure--edge_wear,edge_wear,edge_wear;surface_wear,manual_visual,fine,edge,sparse,multiply,0.97,1,manual_visual,0.028524,0.001610,0.9772,0.0568,0.071220,0.0677,4257.81,0.0566
015.jpg,detail,dust,detail--dust,dust,dust,manual_visual,fine,sparse,sparse,screen,0.97,1,manual_visual,0.010586,0.001079,0.7378,0.0090,0.029248,0.0215,3119.47,0.0144
016.jpg,area,mold,area--mold,mold,mold,manual_visual,fine,diffuse,dense,multiply,0.97,1,manual_visual,0.206072,0.007649,1.3669,0.0455,0.196238,0.2928,13461.91,0.0555
017.jpg,detail,scratch,detail--scratch,scratch,dust;scratch,manual_visual,linear,directional,sparse,screen,0.97,1,manual_visual,0.022852,0.004744,0.3671,0.2011,0.033870,0.1272,3229.98,0.0515
018.jpg,detail,dust,detail--dust,dust,dust,manual_visual,fine,diffuse,medium,screen,0.97,1,manual_visual,0.051787,0.003789,0.5847,0.0214,0.104963,0.0712,9077.15,0.0050
019.jpg,detail,dust,detail--dust,dust,dust,manual_visual,fine,diffuse,medium,screen,0.97,1,manual_visual,0.135550,0.010989,0.9561,0.0386,0.211664,0.1043,18898.50,0.0398
020.jpg,area,surface_wear,area--surface_wear,surface_wear,surface_wear,manual_visual,fine,diffuse,dense,multiply,0.97,1,manual_visual,0.158468,0.009229,0.9205,0.0117,0.221264,0.1993,17183.84,0.0632
021.jpg,area,stain,area--stain,stain,stain,manual_visual,fine,diffuse,medium,multiply,0.97,1,manual_visual,0.130599,0.009136,0.3739,0.0337,0.126432,0.4450,7165.80,0.2680
022.jpg,area,surface_wear,area--surface_wear,surface_wear,surface_wear,manual_visual,fine,diffuse,medium,multiply,0.97,1,manual_visual,0.095304,0.001502,0.2906,0.0431,0.150820,0.2995,11267.36,0.0472
023.jpg,area,mold,area--mold,mold,mold,manual_visual,fine,diffuse,dense,multiply,0.97,1,manual_visual,0.267854,0.046621,1.0363,0.0069,0.248403,0.2902,18361.82,0.1241
024.jpg,structure,edge_wear,structure--edge_wear,edge_wear,dust;edge_wear;scratch,manual_visual,fine,edge,medium,multiply,0.97,1,manual_visual,0.110609,0.014456,1.4633,0.0107,0.202487,0.1308,21868.49,0.1099
025.jpg,area,stain,area--stain,stain,stain,manual_visual,fine,diffuse,medium,multiply,0.97,1,manual_visual,0.106497,0.013467,0.9728,0.0091,0.189589,0.1329,17567.33,0.0562
026.jpg,area,surface_wear,area--surface_wear,surface_wear,surface_wear,manual_visual,fine,diffuse,medium,multiply,0.97,1,manual_visual,0.053989,0.004802,1.3657,0.0096,0.085906,0.1328,7702.64,0.0215
027.jpg,detail,dust,detail--dust,dust,dust,manual_visual,fine,sparse,sparse,screen,0.97,1,manual_visual,0.022470,0.002312,1.0359,0.0070,0.057206,0.0389,5089.79,0.0197
028.jpg,area,surface_wear,area--surface_wear,surface_wear,surface_wear,manual_visual,fine,diffuse,dense,multiply,0.97,1,manual_visual,0.270773,0.011975,0.5014,0.1008,0.238268,0.3812,18103.30,0.3508
029.jpg,area,stain,area--stain,stain,stain,manual_visual,fine,sparse,medium,multiply,0.97,1,manual_visual,0.043958,0.008040,0.4736,0.0397,0.075801,0.0931,9001.46,0.0126
030.jpg,detail,dust,detail--dust,dust,dust,manual_visual,fine,sparse,sparse,screen,0.97,1,manual_visual,0.024222,0.001261,0.9339,0.0257,0.072927,0.0214,5355.67,0.0060
031.jpg,detail,scratch,detail--scratch,scratch,scratch,manual_visual,linear,directional,medium,screen,0.97,1,manual_visual,0.119556,0.006996,0.7396,0.0103,0.189989,0.1083,15932.82,0.0195
032.jpg,structure,fold,structure--fold,fold,fold;stain;surface_wear,manual_visual,linear,directional,dense,screen,0.97,1,manual_visual,0.251410,0.007292,0.4446,0.0096,0.255039,0.3250,27666.02,0.3544
033.jpg,area,stain,area--stain,stain,stain,manual_visual,fine,diffuse,medium,multiply,0.97,1,manual_visual,0.055530,0.009625,0.4757,0.1153,0.080693,0.1646,7755.44,0.0528
034.jpg,area,surface_wear,area--surface_wear,surface_wear,surface_wear,manual_visual,fine,diffuse,medium,multiply,0.97,1,manual_visual,0.070275,0.008654,1.2743,0.0329,0.142337,0.0581,14012.80,0.0140
035.jpg,detail,scratch,detail--scratch,scratch,scratch,manual_visual,linear,directional,medium,screen,0.97,1,manual_visual,0.030100,0.004008,0.4639,0.3106,0.048642,0.0699,3516.67,0.0602
036.jpg,structure,fold,structure--fold,fold,fold;surface_wear,manual_visual,linear,directional,medium,screen,0.97,1,manual_visual,0.090093,0.009217,0.6199,0.0489,0.118151,0.1654,8569.98,0.0686
037.jpg,structure,edge_wear,structure--edge_wear,edge_wear,edge_wear;stain;surface_wear,manual_visual,fine,edge,dense,multiply,0.97,1,manual_visual,0.217144,0.055056,1.7526,0.0171,0.228762,0.4061,17777.95,0.1940
038.jpg,area,surface_wear,area--surface_wear,surface_wear,surface_wear,manual_visual,fine,sparse,medium,multiply,0.97,1,manual_visual,0.031570,0.002884,0.3923,0.0543,0.070144,0.1399,5980.70,0.0651
039.jpg,area,mold,area--mold,mold,mold,manual_visual,fine,diffuse,dense,multiply,0.97,1,manual_visual,0.153127,0.024829,0.5319,0.0389,0.148521,0.5102,8129.88,0.2645
040.jpg,area,stain,area--stain,stain,stain;surface_wear,manual_visual,fine,diffuse,medium,multiply,0.97,1,manual_visual,0.106729,0.016542,0.6982,0.0320,0.133386,0.2367,11160.18,0.1032
041.jpg,area,mold,area--mold,mold,mold;stain,manual_visual,fine,diffuse,dense,multiply,0.97,1,manual_visual,0.171905,0.003160,0.5428,0.0426,0.156415,0.5302,7921.01,0.2165
042.jpg,area,mold,area--mold,mold,mold,manual_visual,fine,diffuse,medium,multiply,0.97,1,manual_visual,0.142464,0.013496,0.6296,0.0562,0.187549,0.1542,16757.81,0.0505
043.jpg,area,surface_wear,area--surface_wear,surface_wear,surface_wear,manual_visual,fine,sparse,medium,multiply,0.97,1,manual_visual,0.041785,0.001958,1.1933,0.0235,0.108495,0.0660,6346.96,0.0210
044.jpg,area,surface_wear,area--surface_wear,surface_wear,surface_wear,manual_visual,linear,directional,dense,multiply,0.97,1,manual_visual,0.206606,0.003960,0.1664,0.1524,0.167571,0.5332,9570.81,0.2201
045.jpg,area,mold,area--mold,mold,mold,manual_visual,fine,diffuse,dense,multiply,0.97,1,manual_visual,0.219019,0.026990,1.4577,0.0189,0.216068,0.1954,16425.49,0.0502
046.jpg,area,surface_wear,area--surface_wear,surface_wear,surface_wear,manual_visual,fine,sparse,sparse,multiply,0.97,1,manual_visual,0.023927,0.000800,0.1588,0.0776,0.047698,0.2794,2932.64,0.1830
047.jpg,area,mold,area--mold,mold,mold,manual_visual,fine,diffuse,dense,multiply,0.97,1,manual_visual,0.193466,0.011466,0.8208,0.0481,0.239473,0.1228,19753.26,0.0177
048.jpg,detail,scratch,detail--scratch,scratch,scratch,manual_visual,linear,directional,medium,screen,0.97,1,manual_visual,0.099704,0.026175,0.9035,0.1596,0.119482,0.0801,8577.28,0.0710
