"seq","origin_filename","source_id","filename","dataset_kind","provider","source_url","license","rights_url","sha256","origin_sha256","width","height","content_type","color_mode","quality_label","split","source_path"
"0001","cma_151356_Alexandre_Dumas_père_(1802–1870).tif","cma_151356","0001.png","real_damaged","Cleveland Museum of Art","https://clevelandart.org/art/1983.198","CC0","https://www.clevelandart.org/open-access","610cbc16f20b1d9890c1fa91697766eb2b3575b459605971b13776e1cbb347b4","016186122c9600e9b209a92e0865bea0e49642dd7d9f0c6bb132b2a6ef1661db","1909","2560","single_portrait","RGB","existing_damage","train","images/0001.png"
"0002","cma_151948_Rue_de_la_Ferronnerie.tif","cma_151948","0002.png","real_damaged","Cleveland Museum of Art","https://clevelandart.org/art/1984.24","CC0","https://www.clevelandart.org/open-access","4813c37c61b56caa6be3bd828a7e7a931892ebac526ec66231b4e0a4f63008e3","224d6622ac2adf7c7662d37ac038fc9382247b09526e12cd9c5cf74e777822d3","1982","2048","architecture","RGB","existing_damage","validation","images/0002.png"
"0003","cma_153597_The_Bridge_of_Palalda_(near_Amelieles-Bains).tif","cma_153597","0003.png","real_damaged","Cleveland Museum of Art","https://clevelandart.org/art/1987.130","CC0","https://www.clevelandart.org/open-access","46110be6961290d98b76b5a1fd22152153da81cf99f7404ce3c6a0b08969f3ef","364ab37ce2e793c448a800dbeec4cc859fff373a31999414f8e8afbec0a81050","2560","1870","outdoor_scene","RGB","existing_damage","train","images/0003.png"
"0004","cma_155859_Untitled_(Farm_Animals).tif","cma_155859","0004.png","real_damaged","Cleveland Museum of Art","https://clevelandart.org/art/1991.162","CC0","https://www.clevelandart.org/open-access","663dbca6a79a9cf11027ea064972fca0303676634c5c16a330ca13cb355a91fb","1baaedc161475c1ef5b6cefd343fb10e8bcab939e795bd1e1e28d2cf495c5a4f","3200","2152","outdoor_scene","RGB","existing_damage","validation","images/0004.png"
"0005","cma_156101_Notre-Dame,_Paris.tif","cma_156101","0005.png","real_damaged","Cleveland Museum of Art","https://clevelandart.org/art/1991.35","CC0","https://www.clevelandart.org/open-access","48442cb74f6a1f7b4e66b6832ee70b0eab3bf58ca467fb8f5979deb5734bdc09","19072127f63eeec241281d0b17988d7223716bc44475edaba9ad8f080ffdb201","2560","1700","architecture","RGB","existing_damage","train","images/0005.png"
"0006","met_291408_untitled.jpg","met_291408","0006.png","real_damaged","The Metropolitan Museum of Art","https://www.metmuseum.org/art/collection/search/291408","Public Domain","https://www.metmuseum.org/about-the-met/policies-and-documents/open-access","205d365fc8746e6b190323a75458121c12d48a267aca8f961142d2fb9acad601","f4d479cb6aa5f453ab3318646f4ae42a612209bd5c4e734425ac4ce95292b62f","3200","2547","outdoor_scene","RGB","existing_damage","test","images/0006.png"
"0007","met_291412_untitled.jpg","met_291412","0007.png","real_damaged","The Metropolitan Museum of Art","https://www.metmuseum.org/art/collection/search/291412","Public Domain","https://www.metmuseum.org/about-the-met/policies-and-documents/open-access","270e048268c7ef90f4aaca088a92170bf5b216046a5c82b5f449d1031b316db8","85c12c44def41e174df9241c7f855e3615c67637d6bfa0f922ebce93a3697b8e","2560","2068","architecture","RGB","existing_damage","test","images/0007.png"
"0008","met_291413_untitled.jpg","met_291413","0008.png","real_damaged","The Metropolitan Museum of Art","https://www.metmuseum.org/art/collection/search/291413","Public Domain","https://www.metmuseum.org/about-the-met/policies-and-documents/open-access","df31550a10317107480a91893d0b3c5379b9febcfeefb1925590b027275d4e6a","09935e88b601f820ceaa70c2fd0970685f412636b9ece4651c77625bfd6a45e8","2560","2081","architecture","RGB","existing_damage","train","images/0008.png"
"0009","met_291421_untitled.jpg","met_291421","0009.png","real_damaged","The Metropolitan Museum of Art","https://www.metmuseum.org/art/collection/search/291421","Public Domain","https://www.metmuseum.org/about-the-met/policies-and-documents/open-access","79f90df3ecd8ba61fa24f5de67485210c1c8b886579873ef25eccb88757df32e","62aa8d757764bf2c4d0349a3e08ec147205f960353af4ed3e7ca026ba946e1ed","2560","2047","architecture","RGB","existing_damage","train","images/0009.png"
"0010","met_291426_untitled.jpg","met_291426","0010.png","real_damaged","The Metropolitan Museum of Art","https://www.metmuseum.org/art/collection/search/291426","Public Domain","https://www.metmuseum.org/about-the-met/policies-and-documents/open-access","3e7662f1bc6445d6efb9354ab49fd93a2517db63e2ed0af59b34dcee19e12109","b0805e9263051271ccceac83e8781ff8bc993c0271d2c0df5afdb4ae2aba5f4a","2560","2025","architecture","RGB","existing_damage","train","images/0010.png"
"0012","wikimedia_126834742_Historical_photograph_of_Takht_Keshgarh_Sahib.jpg.jpg","commons_126834742","0012.png","real_damaged","Wikimedia Commons","https://commons.wikimedia.org/wiki/File:Historical_photograph_of_Takht_Keshgarh_Sahib.jpg","Public domain","","bfc72244506012f201772fa23d4d5c570d85f711449ebb7139310d13d2a646b5","29d2a0570be4a762f6752d5491f8ab1fa9b49e2a1a6ffabd56db2e1d4d58844d","2086","3200","architecture","RGB","existing_damage","train","images/0012.png"
"0013","wikimedia_126847690_Historical_photograph_of_Fatehgarh_Sahib.jpg.jpg","commons_126847690","0013.png","real_damaged","Wikimedia Commons","https://commons.wikimedia.org/wiki/File:Historical_photograph_of_Fatehgarh_Sahib.jpg","Public domain","","3d65243c5596c35b4a9468f94d1acebba89c9700365bfa2bb7404b7c357b042c","9663a03c6cb84314927d67187582bbf7d9277b5fad65f309b789b5ce585fcca2","2048","1394","architecture","RGB","existing_damage","train","images/0013.png"
"0014","wikimedia_126847691_Historical_photograph_of_Darbar_Sahib,_Mukhtsar.jpg.jpg","commons_126847691","0014.png","real_damaged","Wikimedia Commons","https://commons.wikimedia.org/wiki/File:Historical_photograph_of_Darbar_Sahib,_Mukhtsar.jpg","Public domain","","b51757adc090baf3db4a4ab12cc0e61ce0486096f279d9dcc0cad8b47ded16b7","977b386e8be13b002963bcb3db306a0fa9c61b34fa6d7edfdd1782231d811cac","2048","1412","architecture","RGB","existing_damage","train","images/0014.png"
